"08:57:06.016 -> IR=115279, BPM=125.00, Avg BPM=98"
"08:57:06.036 -> IR=115270, BPM=125.00, Avg BPM=98"
"08:57:06.056 -> IR=115294, BPM=125.00, Avg BPM=98"
"08:57:06.076 -> IR=115301, BPM=125.00, Avg BPM=98"
"08:57:06.096 -> IR=115248, BPM=125.00, Avg BPM=98"
"08:57:06.116 -> IR=115024, BPM=125.00, Avg BPM=98"
"08:57:06.136 -> IR=114855, BPM=125.00, Avg BPM=98"
"08:57:06.156 -> IR=114814, BPM=125.00, Avg BPM=98"
"08:57:06.176 -> IR=114873, BPM=125.00, Avg BPM=98"
"08:57:06.196 -> IR=114953, BPM=125.00, Avg BPM=98"
"08:57:06.216 -> IR=115039, BPM=125.00, Avg BPM=98"
"08:57:06.236 -> IR=115138, BPM=125.00, Avg BPM=98"
"08:57:06.256 -> IR=115199, BPM=125.00, Avg BPM=98"
"08:57:06.276 -> IR=115235, BPM=125.00, Avg BPM=98"
"08:57:06.296 -> IR=115257, BPM=125.00, Avg BPM=98"
"08:57:06.316 -> IR=115271, BPM=125.00, Avg BPM=98"
"08:57:06.336 -> IR=115260, BPM=125.00, Avg BPM=98"
"08:57:06.356 -> IR=115252, BPM=125.00, Avg BPM=98"
"08:57:06.376 -> IR=115230, BPM=125.00, Avg BPM=98"
"08:57:06.396 -> IR=115222, BPM=125.00, Avg BPM=98"
"08:57:06.416 -> IR=115221, BPM=125.00, Avg BPM=98"
"08:57:06.436 -> IR=115233, BPM=125.00, Avg BPM=98"
"08:57:06.456 -> IR=115261, BPM=125.00, Avg BPM=98"
"08:57:06.479 -> IR=115262, BPM=49.92, Avg BPM=86"
"08:57:06.497 -> IR=115267, BPM=49.92, Avg BPM=86"
"08:57:06.517 -> IR=115271, BPM=49.92, Avg BPM=86"
"08:57:06.537 -> IR=115284, BPM=49.92, Avg BPM=86"
"08:57:06.557 -> IR=115291, BPM=49.92, Avg BPM=86"
"08:57:06.578 -> IR=115287, BPM=49.92, Avg BPM=86"
"08:57:06.597 -> IR=115287, BPM=49.92, Avg BPM=86"
"08:57:06.617 -> IR=115301, BPM=49.92, Avg BPM=86"
"08:57:06.637 -> IR=115304, BPM=49.92, Avg BPM=86"
"08:57:06.657 -> IR=115293, BPM=49.92, Avg BPM=86"
"08:57:06.679 -> IR=115292, BPM=49.92, Avg BPM=86"
"08:57:06.697 -> IR=115287, BPM=49.92, Avg BPM=86"
"08:57:06.717 -> IR=115186, BPM=49.92, Avg BPM=86"
"08:57:06.737 -> IR=114903, BPM=49.92, Avg BPM=86"
"08:57:06.757 -> IR=114738, BPM=49.92, Avg BPM=86"
"08:57:06.778 -> IR=114720, BPM=49.92, Avg BPM=86"
"08:57:06.810 -> IR=114782, BPM=49.92, Avg BPM=86"
"08:57:06.828 -> IR=114857, BPM=49.92, Avg BPM=86"
"08:57:06.844 -> IR=114949, BPM=49.92, Avg BPM=86"
"08:57:06.860 -> IR=115033, BPM=49.92, Avg BPM=86"
"08:57:06.877 -> IR=115101, BPM=49.92, Avg BPM=86"
"08:57:06.897 -> IR=115151, BPM=49.92, Avg BPM=86"
"08:57:06.917 -> IR=115204, BPM=49.92, Avg BPM=86"
"08:57:06.937 -> IR=115218, BPM=49.92, Avg BPM=86"
"08:57:06.957 -> IR=115220, BPM=49.92, Avg BPM=86"
"08:57:06.978 -> IR=115212, BPM=49.92, Avg BPM=86"
"08:57:06.997 -> IR=115193, BPM=49.92, Avg BPM=86"
"08:57:07.017 -> IR=115197, BPM=49.92, Avg BPM=86"
"08:57:07.037 -> IR=115201, BPM=49.92, Avg BPM=86"
"08:57:07.057 -> IR=115221, BPM=49.92, Avg BPM=86"
"08:57:07.078 -> IR=115239, BPM=49.92, Avg BPM=86"
"08:57:07.098 -> IR=115268, BPM=49.92, Avg BPM=86"
"08:57:07.117 -> IR=115286, BPM=49.92, Avg BPM=86"
"08:57:07.137 -> IR=115294, BPM=49.92, Avg BPM=86"
"08:57:07.157 -> IR=115304, BPM=88.24, Avg BPM=88"
"08:57:07.179 -> IR=115305, BPM=88.24, Avg BPM=88"
"08:57:07.198 -> IR=115309, BPM=88.24, Avg BPM=88"
"08:57:07.217 -> IR=115333, BPM=88.24, Avg BPM=88"
"08:57:07.237 -> IR=115327, BPM=88.24, Avg BPM=88"
"08:57:07.257 -> IR=115347, BPM=88.24, Avg BPM=88"
"08:57:07.277 -> IR=115359, BPM=88.24, Avg BPM=88"
"08:57:07.297 -> IR=115362, BPM=88.24, Avg BPM=88"
"08:57:07.317 -> IR=115372, BPM=88.24, Avg BPM=88"
"08:57:07.337 -> IR=115349, BPM=88.24, Avg BPM=88"
"08:57:07.357 -> IR=115153, BPM=88.24, Avg BPM=88"
"08:57:07.379 -> IR=114915, BPM=88.24, Avg BPM=88"
"08:57:07.398 -> IR=114829, BPM=88.24, Avg BPM=88"
"08:57:07.417 -> IR=114876, BPM=88.24, Avg BPM=88"
"08:57:07.437 -> IR=114956, BPM=88.24, Avg BPM=88"
"08:57:07.456 -> IR=115054, BPM=88.24, Avg BPM=88"
"08:57:07.477 -> IR=115150, BPM=88.24, Avg BPM=88"
"08:57:07.497 -> IR=115218, BPM=88.24, Avg BPM=88"
